Brand,Model,Price,Year,KM,City
Seat,Leon,915.000 TL,2013,89.000,Tokat/Merkez
Bentley,Continental,7.600.000 TL,2012,79.000,İstanbul/Bakırköy
BMW,i Serisi,6.490.000 TL,2023,12.000,İstanbul/Bakırköy
BMW,5 Serisi,1.100.000 TL,2010,244.000,Bursa/Nilüfer
Tofaş,Şahin,168.500 TL,1995,125.000,Bilecik/Bozüyük
Volkswagen,Polo,530.000 TL,2014,163.000,Zonguldak/Devrek
Mercedes-Benz,E Serisi,2.890.000 TL,2018,85.000,Bolu/Merkez
Volkswagen,Golf,1.090.000 TL,2022,42.000,Denizli/Merkezefendi
Tofaş,Doğan,175.000 TL,1994,250.000,Sivas/Şarkışla
Fiat,Egea,479.000 TL,2017,189.000,İstanbul/Bağcılar
Opel,Insignia,625.000 TL,2011,262.147,Antalya/Alanya
Volkswagen,Passat,965.000 TL,2017,312.000,Mersin/Toroslar
Audi,A8,2.975.000 TL,2011,335.000,İzmir/Ödemiş
Nissan,Micra,359.000 TL,2006,204.000,Kocaeli/Gölcük
Renault,Megane,1.135.000 TL,2020,117.000,Kocaeli/Gebze
Mercedes-Benz,C Serisi,2.830.000 TL,2022,99.000,İstanbul/Bağcılar
Toyota,Corolla,615.000 TL,2008,239.000,Şanlıurfa/Haliliye
Volkswagen,Polo,452.000 TL,2005,175.000,Konya/Ilgın
Mercedes-Benz,E Serisi,1.490.000 TL,2013,394.000,Samsun/Tekkeköy
Opel,Astra,755.000 TL,2016,150.000,Şanlıurfa/Siverek
Opel,Corsa,535.000 TL,2014,85.000,Antalya/Kepez
Volkswagen,Jetta,467.000 TL,2012,358.058,İstanbul/Beylikdüzü
Ford,Focus,1.288.500 TL,2021,46.252,Ankara/Pursaklar
BMW,5 Serisi,2.975.000 TL,2022,38.500,İstanbul/Bağcılar
Mercedes-Benz,B Serisi,1.065.000 TL,2015,158.000,Aydın/Nazilli
Renault,Megane,962.500 TL,2021,129.000,İstanbul/Ümraniye
Fiat,500 Ailesi,610.000 TL,2015,130.000,İzmir/Buca
Peugeot,508,549.000 TL,2012,267.000,Tekirdağ/Çerkezköy
Hyundai,Accent Blue,599.999 TL,2016,237.000,İzmir/Buca
Opel,Astra,513.000 TL,2008,229.000,Rize/Ardeşen
Honda,Civic,1.152.900 TL,2018,98.000,İstanbul/Bağcılar
Volkswagen,Passat,1.415.000 TL,2019,66.500,İstanbul/Çekmeköy
Dacia,Sandero,705.000 TL,2019,166.000,İstanbul/Ataşehir
BMW,5 Serisi,3.237.500 TL,2022,52.000,Zonguldak/Ereğli
Ford,Fiesta,425.000 TL,2009,256.000,İstanbul/Küçükçekmece
Honda,Civic,1.195.000 TL,2020,80.000,Kayseri/Kocasinan
Fiat,Egea,675.000 TL,2018,108.000,İstanbul/Üsküdar
Porsche,Panamera,4.200.000 TL,2012,165.000,Gaziantep/Şehitkamil
Porsche,Panamera,3.400.000 TL,2013,200.000,İstanbul/Kartal
Mercedes-Benz,CLA,1.325.000 TL,2015,203.000,Kocaeli/Çayırova
Ford,Fiesta,545.900 TL,2009,160.000,Kırşehir/Merkez
Volkswagen,Beetle,980.000 TL,2014,150.000,Zonguldak/Merkez
Mercedes-Benz,C Serisi,2.079.500 TL,2018,120.000,Ankara/Yenimahalle
Renault,Clio,609.900 TL,2022,69.000,İstanbul/Sancaktepe
Mercedes-Benz,C Serisi,3.319.900 TL,2023,6.001,Antalya/Muratpaşa
BMW,5 Serisi,2.150.000 TL,2017,143.000,İstanbul/Kartal
Opel,Insignia,1.350.000 TL,2021,57.000,Konya/Beyşehir
BMW,1 Serisi,1.250.000 TL,2008,300.000,İstanbul/Kartal
Dodge,Challenger,4.190.000 TL,2009,72.000,Bursa/Nilüfer
Renault,Megane,532.000 TL,2011,198.000,İstanbul/Küçükçekmece
Dacia,Sandero,784.900 TL,2022,52.000,İstanbul/Sancaktepe
Renault,Taliant,684.900 TL,2021,106.000,İstanbul/Sancaktepe
Hyundai,Accent,409.500 TL,2006,259.000,Kırıkkale/Merkez
Renault,Clio,849.000 TL,2022,49.000,Kahramanmaraş/Onikişubat
Mercedes-Benz,C Serisi,969.900 TL,2012,258.000,Hatay/Reyhanlı
Mercedes-Benz,C Serisi,1.188.500 TL,2011,170.000,Kocaeli/Çayırova
Renault,Megane,895.000 TL,2021,146.900,İstanbul/Esenyurt
Renault,Megane,1.055.000 TL,2022,47.000,İstanbul/Başakşehir
Mercedes-Benz,E Serisi,1.475.000 TL,2011,159.000,Mersin/Tarsus
Ford,Mondeo,480.000 TL,2009,310.000,Ordu/Fatsa
Kia,Rio,519.750 TL,2014,199.000,İstanbul/Pendik
Volkswagen,Jetta,649.900 TL,2013,250.000,Denizli/Pamukkale
Volkswagen,Golf,475.000 TL,2011,287.000,İstanbul/Beylikdüzü
Renault,Symbol,595.000 TL,2017,73.000,İzmir/Dikili
Renault,Clio,670.000 TL,2013,54.000,Balıkesir/Edremit
Hyundai,i20,725.000 TL,2020,51.600,İstanbul/Arnavutköy
Fiat,Egea,689.500 TL,2022,88.000,Rize/Merkez
Honda,Civic,719.000 TL,2011,279.000,Konya/Akşehir
BMW,4 Serisi,1.620.000 TL,2017,115.000,İstanbul/Esenyurt
Mercedes-Benz,E Serisi,1.590.000 TL,2012,257.000,Kırşehir/Merkez
Volkswagen,Passat,1.615.000 TL,2016,133.500,Diyarbakır/Bağlar
Audi,A4,1.045.000 TL,2013,284.000,İstanbul/Sultangazi
Audi,A6,425.000 TL,2000,495.000,Aksaray/Merkez
Fiat,Egea,638.500 TL,2020,118.000,İstanbul/Pendik
BMW,5 Serisi,1.615.000 TL,2016,188.000,Mersin/Toroslar
Ford,Focus,729.900 TL,2016,280.000,Denizli/Pamukkale
Opel,Astra,548.750 TL,2010,176.000,İstanbul/Küçükçekmece
Renault,Megane,809.000 TL,2016,188.000,İstanbul/Başakşehir
Volkswagen,Polo,765.000 TL,2015,70.000,Kütahya/Tavşanlı
Toyota,Corolla,450.000 TL,1998,254.144,Hatay/Erzin
Toyota,Corolla,450.000 TL,1998,254.144,Hatay/Erzin
BMW,5 Serisi,2.110.000 TL,2017,110.000,İstanbul/Esenyurt
Audi,A6,1.825.000 TL,2015,190.000,Van/Erciş
Seat,Leon,850.000 TL,2015,172.000,İstanbul/Bakırköy
Volkswagen,Passat,739.000 TL,2012,270.000,Ankara/Sincan
Volkswagen,VW CC,875.000 TL,2013,270.000,Bursa/Yıldırım
Renault,Megane,899.750 TL,2018,166.000,Konya/Karatay
Opel,Astra,529.750 TL,2013,252.000,İzmir/Bornova
Ford,Focus,965.000 TL,2020,165.000,İstanbul/Esenyurt
Volkswagen,Jetta,718.750 TL,2012,154.000,Kocaeli/Körfez
BMW,3 Serisi,2.160.000 TL,2019,85.000,İstanbul/Esenyurt
